Time_s   Intensity_dB
0.045333   64.103160
0.056000   63.845740
0.066667   63.212671
0.077333   63.116211
0.088000   62.992309
0.098667   62.176462
0.109333   61.521438
0.120000   61.978134
0.130667   62.406733
0.141333   61.975558
0.152000   61.023528
0.162667   60.346332
0.173333   59.508507
0.184000   57.478105
0.194667   55.508957
0.205333   55.478542
0.216000   56.157945
0.226667   55.252267
0.237333   53.691069
0.248000   52.596161
0.258667   52.510481
0.269333   53.970039
0.280000   54.817323
0.290667   54.302491
0.301333   53.804984
0.312000   53.377251
0.322667   53.715690
0.333333   55.460707
0.344000   56.579283
0.354667   56.439664
0.365333   57.914772
0.376000   64.614593
0.386667   70.289604
0.397333   73.518612
0.408000   74.675280
0.418667   74.076496
0.429333   72.303429
0.440000   70.701060
0.450667   70.157094
0.461333   69.495875
0.472000   67.429271
0.482667   64.110596
0.493333   61.810014
0.504000   61.210277
0.514667   60.399998
0.525333   58.581355
0.536000   56.842190
0.546667   58.943646
0.557333   62.816104
0.568000   66.485001
0.578667   69.164301
0.589333   70.886293
0.600000   72.934456
0.610667   75.616904
0.621333   77.800670
0.632000   78.278225
0.642667   77.095580
0.653333   75.241513
0.664000   73.802751
0.674667   72.918694
0.685333   72.397859
0.696000   72.304080
0.706667   72.305705
0.717333   72.255406
0.728000   72.175776
0.738667   71.784993
0.749333   70.898402
0.760000   70.860852
0.770667   71.847080
0.781333   71.222821
0.792000   69.053725
0.802667   67.594661
0.813333   66.329714
0.824000   63.345507
0.834667   59.461866
0.845333   56.573923
0.856000   54.505449
0.866667   54.671575
0.877333   57.962129
0.888000   60.870038
0.898667   62.290950
0.909333   64.446204
0.920000   67.262481
0.930667   69.736709
0.941333   72.043515
0.952000   74.477661
0.962667   76.253835
0.973333   76.523470
0.984000   75.536363
0.994667   73.611040
1.005333   70.833775
1.016000   67.782452
1.026667   65.415901
1.037333   64.641969
1.048000   65.291298
1.058667   67.559108
1.069333   70.939864
1.080000   73.476348
1.090667   74.676754
1.101333   75.030609
1.112000   75.368001
1.122667   75.597235
1.133333   75.531331
1.144000   75.502899
1.154667   75.274999
1.165333   74.662126
1.176000   74.502946
1.186667   75.569309
1.197333   76.354471
1.208000   75.203555
1.218667   71.895274
1.229333   68.487032
1.240000   67.511257
1.250667   68.101966
1.261333   69.857365
1.272000   70.737490
1.282667   69.614511
1.293333   66.863957
1.304000   64.873101
1.314667   64.624228
1.325333   64.184052
1.336000   63.720624
1.346667   63.850173
1.357333   64.688814
1.368000   65.745464
1.378667   66.092087
1.389333   66.092921
1.400000   66.423637
1.410667   66.617732
1.421333   65.760192
1.432000   65.836128
1.442667   68.714513
1.453333   71.983169
1.464000   74.321935
1.474667   75.817598
1.485333   77.222322
1.496000   78.225836
1.506667   78.059814
1.517333   76.449306
1.528000   74.112169
1.538667   72.498358
1.549333   71.795752
1.560000   71.270378
1.570667   70.472452
1.581333   69.180202
1.592000   67.442780
1.602667   65.165772
1.613333   63.129754
1.624000   62.437297
1.634667   62.102205
1.645333   61.770524
1.656000   62.064821
1.666667   62.245726
1.677333   62.111617
1.688000   62.462831
1.698667   62.457203
1.709333   62.050540
1.720000   62.291987
1.730667   62.973151
1.741333   63.481785
1.752000   63.559588
1.762667   63.518158
1.773333   63.370375
1.784000   63.168363
1.794667   63.578741
1.805333   64.347361
1.816000   64.785133
1.826667   65.035790
1.837333   65.783118
1.848000   66.450589
1.858667   66.446690
1.869333   66.102522
1.880000   65.501186
1.890667   64.926115
1.901333   64.712971
1.912000   64.874442
1.922667   64.799965
1.933333   65.073326
1.944000   65.885542
1.954667   65.986796
1.965333   65.109620
1.976000   64.456704
1.986667   63.911127
1.997333   64.099618
2.008000   64.916150
2.018667   65.225584
2.029333   65.806074
2.040000   66.288144
2.050667   66.194589
2.061333   66.072483
2.072000   65.962380
2.082667   65.723245
2.093333   65.886946
2.104000   66.254367
2.114667   66.878588
2.125333   67.596262
2.136000   68.063401
2.146667   68.322104
2.157333   68.464508
2.168000   68.843910
2.178667   69.649389
2.189333   69.986352
2.200000   70.095383
2.210667   70.855655
2.221333   71.527068
2.232000   71.883273
2.242667   72.307075
2.253333   72.666595
2.264000   72.865835
2.274667   73.165537
2.285333   73.070616
2.296000   72.571768
2.306667   72.267059
2.317333   72.546963
2.328000   73.146772
2.338667   73.585392
2.349333   73.620474
2.360000   73.331978
2.370667   73.303548
2.381333   73.511962
2.392000   73.740632
2.402667   73.931388
2.413333   73.730618
2.424000   73.480330
2.434667   73.568614
2.445333   74.164651
2.456000   74.720492
2.466667   74.832818
2.477333   74.837591
2.488000   74.713660
2.498667   74.739921
2.509333   75.182212
2.520000   75.711529
2.530667   75.606951
2.541333   74.874659
2.552000   74.358079
2.562667   74.041370
2.573333   74.025632
2.584000   74.219521
2.594667   74.484096
2.605333   75.025102
2.616000   75.368929
2.626667   75.159676
2.637333   74.770806
2.648000   74.207202
2.658667   73.853234
2.669333   73.796792
2.680000   73.561203
2.690667   73.576490
2.701333   74.187082
2.712000   74.382788
2.722667   74.107511
2.733333   74.484685
2.744000   75.588940
2.754667   76.185990
2.765333   76.128218
2.776000   76.043678
2.786667   75.834078
2.797333   75.050305
2.808000   74.587947
2.818667   74.818560
2.829333   75.034452
2.840000   74.975929
2.850667   74.900087
2.861333   74.655837
2.872000   74.226889
2.882667   74.211233
2.893333   74.498825
2.904000   74.292089
2.914667   73.890999
2.925333   73.672955
2.936000   73.813597
2.946667   73.952111
2.957333   73.653468
2.968000   73.420691
2.978667   73.230914
2.989333   73.265605
3.000000   73.694516
3.010667   73.853854
3.021333   73.742978
3.032000   73.964971
3.042667   74.030028
3.053333   73.904520
3.064000   73.762246
3.074667   73.734731
3.085333   73.865657
3.096000   73.682747
3.106667   73.272096
3.117333   73.172040
3.128000   73.549145
3.138667   73.912216
3.149333   74.100276
3.160000   74.393833
3.170667   74.486783
3.181333   74.428212
3.192000   74.471625
3.202667   74.224484
3.213333   74.114667
3.224000   74.254784
3.234667   74.096729
3.245333   74.130619
3.256000   74.612811
3.266667   74.587943
3.277333   73.995100
3.288000   73.773310
3.298667   73.711767
3.309333   73.733516
3.320000   73.582428
3.330667   73.016082
3.341333   72.699635
3.352000   73.113145
3.362667   73.514952
3.373333   73.475457
3.384000   73.474101
3.394667   73.228863
3.405333   73.203900
3.416000   73.665506
3.426667   73.821917
3.437333   73.558860
3.448000   73.441986
3.458667   73.635166
3.469333   73.523018
3.480000   73.216788
3.490667   73.414206
3.501333   73.121724
3.512000   72.568962
3.522667   72.390203
3.533333   72.585757
3.544000   72.635986
3.554667   72.298028
3.565333   72.482017
3.576000   72.842464
3.586667   73.086121
3.597333   73.130316
3.608000   73.166010
3.618667   73.657521
3.629333   73.527641
3.640000   72.704752
3.650667   72.614357
3.661333   72.863296
3.672000   72.750100
3.682667   72.499980
3.693333   72.060436
3.704000   71.602864
3.714667   72.013155
3.725333   72.723844
3.736000   73.224932
3.746667   73.128325
3.757333   72.979500
3.768000   73.289649
3.778667   73.704660
3.789333   73.841386
3.800000   73.649234
3.810667   73.311175
3.821333   73.121269
3.832000   72.844772
3.842667   72.683540
3.853333   72.793709
3.864000   73.017896
3.874667   73.098870
3.885333   73.152420
