video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_2_z,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,eyebrow_raise,frown
AndyWoodhull,5,8,1,0,5,1,150,0.436738,0.300207,-0.878491,0.123621,0.291215,-0.90196,187.156,77.0264,600.328,0.326071,0.46176,0.0260784,1.74476,0.340189,0.501355,0.0398358,927.126,477.846,0.386487,0.0,0.833274,1.14828,2.28933,2.03077,2.18093,2.38253,2.76023,2.06681,0.886486,2.99564,0.972504,2.03119,4.26692,3.94951,1.28121,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.546390435785,0.63098989918
AndyWoodhull,10,12,1,8,10,241,300,0.295683,0.298765,-0.914437,0.0977635,0.311859,-0.9472,23.6217,52.1295,526.289,0.127044,0.455419,0.00836012,1.78386,0.115084,0.479876,0.00739686,679.15,449.1,1.80575,1.5825,0.634599,1.03407,0.916931,1.04167,1.04095,1.92714,1.33938,0.98835,0.862573,1.04294,0.353815,2.47634,2.94163,2.63906,1.73941,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.838858904072,0.609390095144
AndyWoodhull,20,21,1,12,20,361,600,0.210932,0.355329,-0.933457,0.054902,0.313785,-0.861271,158.651,39.6612,553.547,0.175694,0.439507,0.103405,1.8698,0.189536,0.488556,0.106747,912.86,429.629,1.64196,0.917504,1.9376,1.87007,1.7052,1.62689,0.82281,2.52031,2.47894,2.16944,1.60658,1.20539,1.02645,1.64411,3.51717,4.32582,2.25382,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.810308799863,0.74715652373
AndyWoodhull,47,48,1,21,47,631,1410,0.437455,0.358801,-0.855888,0.20441,0.370316,-0.847406,248.151,46.8322,521.572,0.30192,0.515116,0.193145,1.96272,0.313755,0.577579,0.208068,1059.45,443.242,2.72215,1.78834,0.927703,1.38302,0.984955,2.48708,2.29305,2.59834,2.68415,2.09975,1.88487,2.64761,0.545263,2.33038,3.27904,3.25171,2.46313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.891450536071,0.809869862313
AndyWoodhull,57,62,1,48,57,1441,1710,0.180037,0.395445,-0.918467,-0.0631721,0.38299,-0.831074,287.737,20.2405,549.923,0.1785,0.676132,0.158544,1.93441,0.197787,0.721152,0.167936,1107.78,395.866,2.51531,1.94955,1.17399,1.70973,1.24436,1.26406,2.0928,2.53091,2.65726,1.62111,0.664022,2.31229,0.699914,3.30918,3.3198,3.75221,2.53194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.879550274739,0.789213648747
AndyWoodhull,65,66,1,62,65,1861,1950,0.0793917,0.37293,-0.923732,-0.192499,0.356304,-0.828971,212.725,12.2232,502.692,0.0727549,0.135326,0.0202826,1.87168,0.100302,0.190795,0.0218616,1012.66,382.718,0.589233,0.0432979,0.0,0.0996679,0.496486,0.274503,0.404106,0.308386,0.528526,1.14061,2.17176,3.90417,1.82949,1.05122,2.48069,3.98929,2.11759,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.848674763582,0.642438049868
AndyWoodhull,68,72,1,66,68,1981,2040,0.202932,0.272372,-0.943384,0.0034554,0.312768,-0.944993,11.7149,8.94898,486.05,0.0717903,0.716609,0.133698,1.93187,0.0785693,0.747098,0.138369,661.988,377.348,2.87184,0.953216,1.41999,1.04203,0.294052,0.806898,0.672178,2.77439,1.63879,1.0302,1.55871,3.02466,0.484858,3.7438,3.43086,2.28409,0.196879,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.795237726705,0.741636587607
AndyWoodhull,82,83,1,72,82,2161,2460,0.361909,0.398076,-0.901742,0.158378,0.388246,-0.851334,181.093,8.87621,512.966,0.0919764,0.708025,0.170715,1.9218,0.0953729,0.74509,0.180936,964.593,377.033,2.56105,1.6964,1.73433,1.98351,1.33557,1.62979,0.84791,2.74034,2.85808,1.45527,0.803356,3.17348,0.421018,4.09304,3.48302,3.04995,2.76883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.927923983098,0.746605692318
AndyWoodhull,95,96,1,83,95,2491,2850,0.414919,0.40931,-0.862474,0.20158,0.394184,-0.912607,149.808,21.5083,509.365,0.163767,0.658183,0.0766027,1.93682,0.169807,0.692896,0.078077,902.02,398.917,2.89261,2.86922,1.42878,2.02929,0.869252,2.26046,1.39372,2.69436,2.18384,1.5866,0.846632,2.84421,0.784679,3.76879,2.8366,4.02756,2.5174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.906529446096,0.72067318927
AndyWoodhull,103,104,1,96,103,2881,3090,0.228095,0.378118,-0.908706,0.0535285,0.362158,-0.834084,207.086,19.8124,517.322,0.26371,0.521432,0.0730038,1.81494,0.272273,0.574672,0.0763147,992.995,394.076,1.69817,0.604401,0.0165093,0.853917,1.21234,2.42,0.551934,1.62002,2.72568,1.24159,1.11417,1.26691,0.494603,2.82303,3.25343,2.68731,2.40997,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.808571308413,0.690623646366
